iter	Passed	Remaining
703	8718	3665
704	8729	3652
705	8741	3640
706	8752	3627
707	8766	3615
708	8782	3604
709	8794	3592
710	8811	3581
711	8821	3568
712	8849	3562
713	8861	3549
714	8876	3538
715	8891	3526
716	8902	3514
717	8944	3512
718	8954	3499
719	8970	3488
720	8981	3475
721	8993	3462
722	9037	3462
723	9048	3449
724	9063	3438
725	9078	3426
726	9092	3414
727	9106	3402
728	9133	3395
729	9139	3380
730	9146	3365
731	9152	3350
732	9157	3335
733	9163	3320
734	9169	3306
735	9176	3291
736	9182	3276
737	9189	3262
738	9194	3247
739	9200	3232
740	9205	3217
741	9233	3210
742	9241	3196
743	9247	3181
744	9253	3167
745	9259	3152
746	9265	3137
747	9270	3123
748	9276	3108
749	9283	3094
750	9288	3079
751	9294	3065
752	9301	3050
753	9333	3045
754	9339	3030
755	9345	3016
756	9351	3001
757	9357	2987
758	9363	2973
759	9369	2958
760	9375	2944
761	9381	2930
762	9387	2915
763	9393	2901
764	9399	2887
765	9431	2881
766	9437	2866
767	9450	2854
768	9461	2842
769	9473	2829
770	9484	2817
771	9502	2806
772	9515	2794
773	9525	2781
774	9537	2768
775	9548	2756
776	9560	2743
777	9571	2731
778	9613	2727
779	9623	2714
780	9641	2703
781	9650	2690
782	9667	2679
783	9675	2665
784	9703	2657
785	9709	2643
786	9715	2629
787	9721	2615
788	9727	2601
789	9733	2587
790	9739	2573
791	9745	2559
792	9751	2545
793	9757	2531
794	9763	2517
795	9769	2503
796	9803	2496
797	9814	2484
798	9829	2472
799	9842	2460
800	9848	2446
801	9854	2432
802	9860	2419
803	9866	2405
804	9872	2391
805	9906	2384
806	9919	2372
807	9934	2360
808	9944	2347
809	9957	2335
810	10001	2330
811	10015	2318
812	10025	2305
813	10041	2294
814	10055	2282
815	10066	2269
816	10098	2261
817	10108	2249
818	10119	2236
819	10135	2224
820	10145	2212
821	10157	2199
822	10167	2186
823	10207	2180
824	10219	2167
825	10231	2155
826	10244	2143
827	10266	2132
828	10278	2120
829	10292	2108
830	10306	2096
831	10318	2083
832	10337	2072
833	10351	2060
834	10365	2048
835	10384	2037
836	10395	2024
837	10407	2011
838	10419	1999
839	10445	1989
840	10457	1977
841	10470	1964
842	10477	1951
843	10483	1937
844	10489	1924
845	10496	1910
846	10502	1897
847	10508	1883
848	10514	1870
849	10520	1856
850	10526	1843
851	10532	1829
852	10538	1816
853	10569	1806
854	10575	1793
855	10581	1780
856	10587	1766
857	10593	1753
858	10599	1739
859	10605	1726
860	10611	1713
861	10617	1699
862	10623	1686
863	10629	1673
864	10635	1659
865	10670	1651
866	10676	1637
867	10682	1624
868	10688	1611
869	10695	1598
870	10701	1584
871	10707	1571
872	10713	1558
873	10719	1545
874	10725	1532
875	10731	1519
876	10736	1505
877	10764	1495
878	10770	1482
879	10776	1469
880	10782	1456
881	10787	1443
882	10793	1430
883	10799	1417
884	10805	1404
885	10811	1391
886	10817	1378
887	10823	1365
888	10829	1352
889	10834	1339
890	10862	1328
891	10871	1316
892	10877	1303
893	10883	1290
894	10889	1277
895	10895	1264
896	10912	1253
897	10925	1240
898	10933	1228
899	10938	1215
900	10945	1202
901	10960	1190
902	10966	1178
903	10972	1165
904	10978	1152
905	10984	1139
906	10991	1126
907	10998	1114
908	11004	1101
909	11010	1088
910	11017	1076
911	11023	1063
912	11029	1051
913	11062	1040
914	11068	1028
915	11076	1015
916	11082	1003
917	11088	990
918	11094	977
919	11100	965
920	11115	953
921	11128	941
922	11168	931
923	11186	920
924	11195	907
925	11210	895
926	11225	884
927	11233	871
928	11262	860
929	11278	848
930	11292	836
931	11302	824
932	11314	812
933	11357	802
934	11370	790
935	11382	778
936	11393	766
937	11407	753
938	11420	741
939	11457	731
940	11470	719
941	11486	707
942	11503	695
943	11524	683
944	11555	672
945	11570	660
946	11584	648
947	11594	635
948	11611	623
949	11650	613
950	11665	601
951	11675	588
952	11686	576
953	11698	564
954	11711	551
955	11722	539
956	11775	529
957	11787	516
958	11803	504
959	11812	492
960	11824	479
961	11859	468
962	11869	456
963	11880	443
964	11896	431
965	11910	419
966	11947	407
967	11961	395
968	11971	382
969	11984	370
970	11997	358
971	12011	345
972	12051	334
973	12059	321
974	12065	309
975	12070	296
976	12076	284
977	12082	271
978	12089	259
979	12097	246
980	12103	234
981	12109	221
982	12141	209
983	12147	197
984	12153	185
985	12163	172
986	12171	160
987	12177	147
988	12182	135
989	12188	123
990	12194	110
991	12200	98
992	12206	86
993	12212	73
994	12235	61
995	12241	49
996	12247	36
997	12252	24
998	12258	12
999	12264	0
